Date,COTTAGE GROVE,DORENA,FERN RIDGE,BLUE RIVER,COUGAR,FALL CREEK,HILLS CREEK,LOOKOUT POINT,DETROIT,FOSTER
03Apr1900,777.48,813.20,371.83,1322.12,1653.02,810.20,1519.53,901.89,1541.34,624.2
04Apr1900,777.81,813.61,371.98,1322.91,1654.14,810.73,1520.07,902.56,1542.10,623.3
05Apr1900,778.15,814.01,372.13,1323.70,1655.26,811.26,1520.60,903.23,1542.86,622.4
06Apr1900,778.48,814.41,372.28,1324.49,1656.38,811.78,1521.14,903.90,1543.62,621.4
07Apr1900,778.82,814.81,372.43,1325.28,1657.51,812.31,1521.68,904.57,1544.38,620.5
08Apr1900,779.16,815.21,372.58,1326.06,1658.63,812.84,1522.21,905.24,1545.14,619.5
09Apr1900,779.49,815.61,372.73,1326.85,1659.75,813.36,1522.75,905.91,1545.90,618.6
10Apr1900,779.83,816.01,372.88,1327.64,1660.87,813.89,1523.29,906.58,1546.66,617.7
11Apr1900,780.16,816.42,373.03,1328.43,1661.99,814.42,1523.82,907.25,1547.42,616.7
12Apr1900,780.50,816.82,373.18,1329.21,1663.12,814.94,1524.36,907.92,1548.18,615.8
13Apr1900,780.83,817.22,373.33,1330.00,1664.24,815.47,1524.90,908.59,1548.94,614.8
14Apr1900,781.17,817.62,373.48,1330.79,1665.36,816.00,1525.43,909.26,1549.70,613.9
15Apr1900,781.43,818.02,373.48,1331.55,1666.36,816.53,1525.97,909.93,1550.40,613.9
16Apr1900,781.68,818.42,373.48,1332.32,1667.35,817.05,1526.51,910.60,1551.10,613.9
17Apr1900,781.94,818.82,373.48,1333.08,1668.35,817.58,1527.04,911.27,1551.80,613.9
18Apr1900,782.20,819.23,373.48,1333.85,1669.34,818.11,1527.58,911.94,1552.50,613.9
19Apr1900,782.45,819.63,373.48,1334.61,1670.34,818.63,1528.12,912.61,1553.20,613.9
20Apr1900,782.71,820.03,373.48,1335.37,1671.33,819.16,1528.65,913.28,1553.90,613.9
21Apr1900,782.97,820.43,373.48,1336.14,1672.33,819.69,1529.19,913.95,1554.60,613.9
22Apr1900,783.22,820.83,373.48,1336.90,1673.32,820.21,1529.73,914.61,1555.30,613.9
23Apr1900,783.48,821.23,373.48,1337.67,1674.32,820.74,1530.27,915.28,1556.00,613.9
24Apr1900,783.74,821.63,373.48,1338.43,1675.31,821.27,1530.80,915.95,1556.70,613.9
25Apr1900,783.99,822.04,373.48,1339.19,1676.31,821.79,1531.34,916.62,1557.40,613.9
26Apr1900,784.25,822.44,373.48,1339.96,1677.30,822.32,1531.88,917.29,1558.10,613.9
27Apr1900,784.51,822.84,373.48,1340.72,1678.30,822.85,1532.41,917.96,1558.80,613.9
28Apr1900,784.76,823.24,373.48,1341.49,1679.29,823.38,1532.95,918.63,1559.50,613.9
29Apr1900,785.02,823.64,373.48,1342.25,1680.29,823.90,1533.49,919.30,1560.20,613.9
30Apr1900,785.28,824.04,373.48,1342.95,1681.26,824.43,1534.02,919.97,1560.85,613.9
01May1900,785.54,824.44,373.48,1343.66,1682.23,824.96,1534.56,920.64,1561.50,613.9
02May1900,785.80,824.85,373.48,1344.36,1683.20,825.48,1535.10,921.31,1562.15,613.9
03May1900,786.05,825.25,373.48,1345.07,1684.17,826.01,1535.63,921.98,1562.80,613.9
04May1900,786.31,825.65,373.48,1345.77,1685.15,826.54,1536.17,922.65,1563.45,613.9
05May1900,786.57,826.05,373.48,1346.48,1686.12,827.07,1536.71,923.32,1563.45,613.9
06May1900,786.83,826.45,373.48,1347.18,1687.09,827.59,1537.24,923.99,1563.45,613.9
07May1900,787.09,826.85,373.48,1347.89,1688.06,828.12,1537.78,924.66,1563.45,613.9
08May1900,787.35,827.25,373.48,1348.59,1689.03,828.65,1538.32,925.33,1563.45,613.9
09May1900,787.60,827.66,373.48,1349.30,1690.00,829.17,1538.85,926.00,1563.45,613.9
10May1900,787.86,828.06,373.48,1350.00,1690.00,829.70,1539.39,926.00,1563.45,613.9
11May1900,788.12,828.46,373.48,1350.00,1690.00,829.70,1539.93,926.00,1563.45,613.9
12May1900,788.38,828.86,373.48,1350.00,1690.00,829.70,1540.46,926.00,1563.45,613.9
13May1900,788.64,829.26,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,613.9
14May1900,788.90,829.66,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,613.9
15May1900,789.15,830.06,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,618.5
16May1900,789.41,830.47,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,623.1
17May1900,789.67,830.87,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,627.8
18May1900,789.93,831.27,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,632.4
19May1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
20May1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
21May1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
22May1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
23May1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
24May1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
25May1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
26May1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
27May1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
28May1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
29May1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
30May1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
31May1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
01Jun1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
02Jun1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
03Jun1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
04Jun1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
05Jun1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
06Jun1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
07Jun1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
08Jun1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
09Jun1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
10Jun1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
11Jun1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
12Jun1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
13Jun1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
14Jun1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
15Jun1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
16Jun1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
17Jun1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
18Jun1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
19Jun1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
20Jun1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
21Jun1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
22Jun1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
23Jun1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
24Jun1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
25Jun1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
26Jun1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
27Jun1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
28Jun1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
29Jun1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
30Jun1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
01Jul1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
02Jul1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
03Jul1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
04Jul1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
05Jul1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
06Jul1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
07Jul1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
08Jul1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
09Jul1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
10Jul1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
11Jul1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
12Jul1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
13Jul1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
14Jul1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
15Jul1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
16Jul1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
17Jul1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
18Jul1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
19Jul1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
20Jul1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
21Jul1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
22Jul1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
23Jul1900,789.93,831.67,373.48,1350.00,1690.00,829.70,1541.00,926.00,1563.45,637.0
